Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Taxable,Status,Image Src,Image Position,Cost per item
mizuno-mizuno-terry-hoodie-m-grey-melange,Mizuno - Mizuno Terry Hoodie(m) - Grey Melange,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32ec7b60, colour-07, color-grey-melange, vat-standard",FALSE,Size,XXS,32EC7B60-07-XXS,,,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EC7B6007.jpg,1,
mizuno-mizuno-terry-hoodie-m-grey-melange,,,,,,,FALSE,Size,XS,32EC7B60-07-XS,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-grey-melange,,,,,,,FALSE,Size,S,32EC7B60-07-S,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-grey-melange,,,,,,,FALSE,Size,M,32EC7B60-07-M,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-grey-melange,,,,,,,FALSE,Size,L,32EC7B60-07-L,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-grey-melange,,,,,,,FALSE,Size,XL,32EC7B60-07-XL,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-grey-melange,,,,,,,FALSE,Size,XXL,32EC7B60-07-XXL,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-grey-melange,,,,,,,FALSE,Size,3XL,32EC7B60-07-3XL,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-grey-melange,,,,,,,FALSE,Size,4XL,32EC7B60-07-4XL,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-navy,Mizuno - Mizuno Terry Hoodie(m) - Navy,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32ec7b60, colour-14, color-navy, vat-standard",FALSE,Size,XXS,32EC7B60-14-XXS,,,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EC7B6014.jpg,1,
mizuno-mizuno-terry-hoodie-m-navy,,,,,,,FALSE,Size,XS,32EC7B60-14-XS,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-navy,,,,,,,FALSE,Size,S,32EC7B60-14-S,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-navy,,,,,,,FALSE,Size,M,32EC7B60-14-M,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-navy,,,,,,,FALSE,Size,L,32EC7B60-14-L,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-navy,,,,,,,FALSE,Size,XL,32EC7B60-14-XL,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-navy,,,,,,,FALSE,Size,XXL,32EC7B60-14-XXL,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-navy,,,,,,,FALSE,Size,3XL,32EC7B60-14-3XL,,,TRUE,draft,,,
mizuno-mizuno-terry-hoodie-m-navy,,,,,,,FALSE,Size,4XL,32EC7B60-14-4XL,,,TRUE,draft,,,
